Time (Europe/London),Conductivity unit,Temperature unit,52rf Conductivity,52rf pH,52rf Temperature, run time, run time, run time,4q3f Conductivity,4q3f pH,4q3f Temperature, run time, run time, run time
2021-07-29 18:19:00,EC,C,0.0,5.5,20,0.0,0.0,0.0,1.9,7.0,20,0.0,272.4,360.1
2021-07-29 18:20:00,EC,C,0.0,5.5,20,0.0,0.0,0.0,1.9,7.0,20,0.0,272.4,360.1
2021-07-29 18:31:00,EC,C,0.5,5.5,21,0.3,133.6,132.1,1.9,7.0,20,0.0,272.4,360.1
2021-07-29 18:32:00,EC,C,0.5,5.5,21,0.3,133.6,132.1,1.9,7.0,20,0.0,272.4,360.1
2021-07-30 17:59:00,EC,C,---,---,---,0.3,202.6,200.7,1.9,7.6,22,0.0,272.4,360.1
2021-07-30 18:00:00,EC,C,---,---,---,0.3,202.6,200.7,1.9,7.6,22,0.0,272.4,360.1
2021-07-30 18:03:00,EC,C,1.8,7.7,21,0.3,202.6,200.7,1.9,7.6,22,0.0,272.4,360.1
2021-08-02 07:48:00,EC,C,1.9,7.1,18,192.3,202.6,200.7,2.0,7.2,19,185.8,272.4,360.1
2021-08-02 07:49:00,EC,C,1.9,7.1,18,192.3,202.6,200.7,2.0,7.2,19,185.8,272.4,360.1
2021-08-02 07:50:00,EC,C,1.9,7.1,18,192.3,202.6,200.7,2.0,7.2,19,185.8,272.4,360.1
